cell_id,pooler,workload,clients,pool_size,protocol,churn,duration_s,n,status,tps_median,tps_min,tps_max,tps_cv,p50_ms,p90_ms,p99_ms,p999_ms
M1-3,pgcat,tpcb-like,50,10,prepared,False,60,7,timeout/inconclusive,,,,,,,,
M1-3,pgpool,tpcb-like,50,10,prepared,False,60,7,measured,1927.841248,1440.431458,2056.333714,0.12094968783152363,15.326,47.329,164.24976000000035,321.24792400000484
M1-4,direct,select-only,200,10,simple,False,60,7,timeout/inconclusive,,,,,,,,
M1-4,odyssey,select-only,200,10,simple,False,60,7,measured,11365.7826,1218.239453,28294.424987,0.6678459156568064,17.498,18.165,20.211,23.530572999999976
M1-4,pgagroal,select-only,200,10,simple,False,60,7,timeout/inconclusive,,,,,,,,
M1-4,pgbouncer,select-only,200,10,simple,False,60,7,measured,17106.594169,2559.720947,46052.812737,0.6799751674614088,11.42,13.117,14.771,16.498935000000056
M1-4,pgcat,select-only,200,10,simple,False,60,7,measured,19177.879377,2460.283888,40933.275508,0.5821396301029397,10.313,11.121,12.571,14.456
M1-4,pgpool,select-only,200,10,simple,False,60,7,timeout/inconclusive,,,,,,,,
M1-5,direct,simple-update,100,20,simple,False,60,7,measured,8155.849112,5063.934763,11668.309142,0.31723601169331805,9.58,15.34,48.44915999999992,116.95030399999965
M1-5,odyssey,simple-update,100,20,simple,False,60,7,measured,5303.186585,3887.017047,8519.009054,0.32632855015191653,13.357,17.399,31.204,89.55167199999931
M1-5,pgagroal,simple-update,100,20,simple,False,60,7,measured,553.332869,145.383682,823.624442,0.6256228876960283,17.0065,73.83619999999999,476.94940999999994,58995.76569
M1-5,pgbouncer,simple-update,100,20,simple,False,60,7,measured,5316.256911,3894.055927,8447.171446,0.3239491217251966,13.76,19.33840000000002,31.02247,107.72881000000024
M1-5,pgcat,simple-update,100,20,simple,False,60,7,measured,5024.46331,3857.898356,8205.146409,0.3184779929302784,14.082,21.587,28.103679999999994,93.29505300000037
M1-5,pgpool,simple-update,100,20,simple,False,60,7,measured,5327.855494,3631.724719,8428.974723,0.34858677100825336,13.781,25.81830000000002,68.56946999999997,133.78812399999993
M1-6,direct,select-only,100,10,simple,True,60,7,measured,196.219647,192.368023,209.774038,0.03219406111356989,236.558,530.1896,681.5348099999999,793.6521760000006
M1-6,odyssey,select-only,100,10,simple,True,60,7,measured,4571.409372,4537.734165,8178.201937,0.2975043976585416,10.886,18.869,23.605,26.440266999999935
M1-6,pgagroal,select-only,100,10,simple,True,60,7,timeout/inconclusive,,,,,,,,
